Reach of Stacked_table,Stream,Number of Fish,Reach of WhitewaterFishStreamrevised2,Fork,Temp.C,Width.m,Depth.cm,CV.cm.s,P.gravel
Blacknose dace,sf high bridge,3,sf high bridge,South,10,8.533333333,41.05,48.43333333,0.033333333
Blacknose dace,sf u/s crystal springs,36,sf u/s crystal springs,South,,14.28,,,
Blacknose dace,sf hwy 26,2,sf hwy 26,South,9,11.96666667,55.355,47.98333333,0.316666667
Longnose dace,nf pries source 1,,nf pries source 1,North,10,1.68,8.066666667,6.033333333,0.133333333
Longnose dace,nf pries source 2,,nf pries source 2,North,13,1.666666667,7.416666667,7.6,0.066666667
Longnose dace,nf pries 1,,nf pries 1,North,9,1.841333333,17.71666667,22.33333333,0.116666667
Longnose dace,nf pries 2,3,nf pries 2,North,10,3.386666667,33.76666667,27.43333333,0.316666667
Longnose dace,nf walsch,15,nf walsch,North,9,2.853333333,51.06666667,27.18333333,0.283333333
Longnose dace,nf shea,111,nf shea,North,9,4.133333333,33.18333333,30.65,0.133333333
Longnose dace,nf jech,1,nf jech,North,11,4.653333333,54.06666667,30.4,0.15
Longnose dace,nf tradup,,nf tradup,North,10,6.013333333,59.5,23.83333333,0.066666667
Longnose dace,nf elgin,,nf elgin,North,11,7.926666667,43.23333333,23.9,0.033333333
Longnose dace,nf jech pond,1,nf jech pond,North,12,8.273333333,45.46666667,19.78333333,0
Longnose dace,nf sjech,2,nf sjech,North,13,8.193333333,46.75,28.53333333,0.033333333
Longnose dace,nf reiter,4,nf reiter,North,13,5.353333333,55.38333333,27.1,0.2
Longnose dace,nf borgen,10,nf borgen,North,15,7.386666667,63.58333333,20.76666667,0.05
Longnose dace,nf crary,2,nf crary,North,13,9.673333333,45.56666667,21.85,0
Longnose dace,nf kcrary,72,nf kcrary,North,12,12.26,34.61666667,27.36666667,0.2
Longnose dace,nf carley,2,nf carley,North,13,11.28125,40.953125,17.484375,0
Longnose dace,nf breiter,150,nf breiter,North,8,11.85333333,34.66666667,57.38333333,0
Longnose dace,nf logan,129,nf logan,North,11,6.426666667,21.46666667,37.86666667,0.083333333
Longnose dace,nf upper wwma,129,nf upper wwma,North,12,15.21333333,41.45,40.3,0.05
Longnose dace,nf fairwater,99,nf fairwater,North,,12.48,,,
Longnose dace,nf elba,8,nf elba,North,14,11.26666667,36.93333333,56.55,0
Longnose dace,mf crow springs source,,mf crow springs source,Middle,13,6.246666667,14.36666667,35.66666667,0.85
Longnose dace,mf crow springs hwy 9,,mf crow springs hwy 9,Middle,8,4.393333333,53.26666667,23.35,0.183333333
Longnose dace,mf crow springs biers,,mf crow springs biers,Middle,12,4.193333333,43.38333333,39.93333333,0.1
Longnose dace,mf hines 107,,mf hines 107,Middle,7,2.426666667,21.74074074,13.05555556,0.233333333
Longnose dace,mf russel,19,mf russel,Middle,11,3.1,29.95,31.88333333,0.316666667
Longnose dace,mf kriedermacher,17,mf kriedermacher,Middle,11,4.04,19.3,25.11666667,0.3
Longnose dace,mf bedtke,9,mf bedtke,Middle,12,3.713333333,38.95,38.41666667,0.3
Longnose dace,mf palmby,2,mf palmby,Middle,14,4.313333333,29.03333333,30.8,0.35
Longnose dace,mf bedtka,2,mf bedtka,Middle,13,3.806666667,58.93333333,28.4,0.25
Longnose dace,mf duellman,12,mf duellman,Middle,16,6.086666667,34.28333333,25.06666667,0.166666667
Longnose dace,mf halbakken,24,mf halbakken,Middle,10,6.613333333,34.88333333,18.25,0.25
Longnose dace,mf hentges,14,mf hentges,Middle,14,6.4,34.65,35.73333333,0.333333333
Longnose dace,mf quincy,2,mf quincy,Middle,13,7.53,,,
Longnose dace,mf cwwma,20,mf cwwma,Middle,12,11.77333333,49.31666667,54.28333333,0.45
Longnose dace,mf group camp,3,mf group camp,Middle,14,9.493333333,44.28333333,24.48333333,0
Longnose dace,mf south picnic,73,mf south picnic,Middle,10,11.43333333,35.55,53.71666667,0.15
Longnose dace,mf park campground,7,mf park campground,Middle,8,9.653333333,36.56666667,55.5,0.016666667
Longnose dace,mf lazy d,,mf lazy d,Middle,12,9.34,46.21666667,59.68333333,0.116666667
Longnose dace,mf swwma,147,mf swwma,Middle,12,10.62,30.33333333,39.56666667,0
Longnose dace,sf eyota,,sf eyota,South,,6.51,,,
Longnose dace,sf grahams arena,,sf grahams arena,South,14,2.893333333,16.4,13.5,0.55
Longnose dace,sf eyota ditch,,sf eyota ditch,South,13,2.246666667,22.05,26.83333333,0.5
Longnose dace,sf c. franke source,19,sf c. franke source,South,9,1.693333333,17.95454545,21.65909091,0.166666667
Longnose dace,sf c. franke,9,sf c. franke,South,10,2.68,23.2962963,12.16666667,0.45
Longnose dace,sf b. franke,15,sf b. franke,South,11,3.46,34.26666667,27.5,0.25
Longnose dace,sf keefe,5,sf keefe,South,13,4.94,33.16666667,22.1,0.216666667
Longnose dace,sf millard,,sf millard,South,10,4.533333333,61.15,55.18333333,0.2
Longnose dace,sf irhke source,4,sf irhke source,South,8,6.206666667,44.25,24.76666667,0.083333333
Longnose dace,sf millard d/s,5,sf millard d/s,South,11,8.806666667,45.06666667,56.7,0.4
Longnose dace,sf zitzow,11,sf zitzow,South,10,6.76,29.38333333,35.93333333,0.583333333
Longnose dace,sf andring,3,sf andring,South,8,5.22,45.11666667,33.5,0.383333333
Longnose dace,sf park west,6,sf park west,South,12,5.746666667,41.66666667,43.16666667,0.316666667
Longnose dace,sf brookwood,2,sf brookwood,South,10,6.513333333,53.33333333,44.13333333,0.183333333
Longnose dace,sf scpu,15,sf scpu,South,12,9.533333333,53.45,33.88333333,0.283333333
Longnose dace,sf richland crossing,,sf richland crossing,South,13,9.48,60.38333333,34.85,0.133333333
Longnose dace,sf person,,sf person,South,12,9.546666667,44.93333333,55.45,0.416666667
Longnose dace,sf heins 37,10,sf heins 37,South,8,10.08666667,50.45,35.05,0.183333333
Longnose dace,sf high bridge,42,sf high bridge,South,10,8.533333333,41.05,48.43333333,0.033333333
Longnose dace,sf u/s crystal springs,83,sf u/s crystal springs,South,,14.28,,,
Longnose dace,sf hwy 26,10,sf hwy 26,South,9,11.96666667,55.355,47.98333333,0.316666667
Creek chub,nf pries source 1,,nf pries source 1,North,10,1.68,8.066666667,6.033333333,0.133333333
Creek chub,nf pries source 2,4,nf pries source 2,North,13,1.666666667,7.416666667,7.6,0.066666667
Creek chub,nf pries 1,,nf pries 1,North,9,1.841333333,17.71666667,22.33333333,0.116666667
Creek chub,nf pries 2,11,nf pries 2,North,10,3.386666667,33.76666667,27.43333333,0.316666667
Creek chub,nf walsch,23,nf walsch,North,9,2.853333333,51.06666667,27.18333333,0.283333333
Creek chub,nf shea,124,nf shea,North,9,4.133333333,33.18333333,30.65,0.133333333
Creek chub,nf jech,22,nf jech,North,11,4.653333333,54.06666667,30.4,0.15
Creek chub,nf tradup,36,nf tradup,North,10,6.013333333,59.5,23.83333333,0.066666667
Creek chub,nf elgin,5,nf elgin,North,11,7.926666667,43.23333333,23.9,0.033333333
Creek chub,nf jech pond,22,nf jech pond,North,12,8.273333333,45.46666667,19.78333333,0
Creek chub,nf sjech,10,nf sjech,North,13,8.193333333,46.75,28.53333333,0.033333333
Creek chub,nf reiter,17,nf reiter,North,13,5.353333333,55.38333333,27.1,0.2
Creek chub,nf borgen,10,nf borgen,North,15,7.386666667,63.58333333,20.76666667,0.05
Creek chub,nf crary,19,nf crary,North,13,9.673333333,45.56666667,21.85,0
Creek chub,nf kcrary,3,nf kcrary,North,12,12.26,34.61666667,27.36666667,0.2
Creek chub,nf carley,1,nf carley,North,13,11.28125,40.953125,17.484375,0
Creek chub,nf breiter,10,nf breiter,North,8,11.85333333,34.66666667,57.38333333,0
Creek chub,nf logan,2,nf logan,North,11,6.426666667,21.46666667,37.86666667,0.083333333
Creek chub,nf upper wwma,40,nf upper wwma,North,12,15.21333333,41.45,40.3,0.05
Creek chub,nf fairwater,1,nf fairwater,North,,12.48,,,
Creek chub,nf elba,,nf elba,North,14,11.26666667,36.93333333,56.55,0
Creek chub,mf crow springs source,,mf crow springs source,Middle,13,6.246666667,14.36666667,35.66666667,0.85
Creek chub,mf crow springs hwy 9,,mf crow springs hwy 9,Middle,8,4.393333333,53.26666667,23.35,0.183333333
Creek chub,mf crow springs biers,,mf crow springs biers,Middle,12,4.193333333,43.38333333,39.93333333,0.1
Creek chub,mf hines 107,,mf hines 107,Middle,7,2.426666667,21.74074074,13.05555556,0.233333333
Creek chub,mf russel,15,mf russel,Middle,11,3.1,29.95,31.88333333,0.316666667
Creek chub,mf kriedermacher,11,mf kriedermacher,Middle,11,4.04,19.3,25.11666667,0.3
Creek chub,mf bedtke,65,mf bedtke,Middle,12,3.713333333,38.95,38.41666667,0.3
Creek chub,mf palmby,78,mf palmby,Middle,14,4.313333333,29.03333333,30.8,0.35
Creek chub,mf bedtka,10,mf bedtka,Middle,13,3.806666667,58.93333333,28.4,0.25
Creek chub,mf duellman,13,mf duellman,Middle,16,6.086666667,34.28333333,25.06666667,0.166666667
Creek chub,mf halbakken,,mf halbakken,Middle,10,6.613333333,34.88333333,18.25,0.25
Creek chub,mf hentges,,mf hentges,Middle,14,6.4,34.65,35.73333333,0.333333333
Creek chub,mf quincy,,mf quincy,Middle,13,7.53,,,
Creek chub,mf cwwma,,mf cwwma,Middle,12,11.77333333,49.31666667,54.28333333,0.45
Creek chub,mf group camp,,mf group camp,Middle,14,9.493333333,44.28333333,24.48333333,0
Creek chub,mf south picnic,,mf south picnic,Middle,10,11.43333333,35.55,53.71666667,0.15
Creek chub,mf park campground,,mf park campground,Middle,8,9.653333333,36.56666667,55.5,0.016666667
Creek chub,mf lazy d,,mf lazy d,Middle,12,9.34,46.21666667,59.68333333,0.116666667
Creek chub,mf swwma,10,mf swwma,Middle,12,10.62,30.33333333,39.56666667,0
Creek chub,sf eyota,17,sf eyota,South,,6.51,,,
Creek chub,sf grahams arena,35,sf grahams arena,South,14,2.893333333,16.4,13.5,0.55
Creek chub,sf eyota ditch,154,sf eyota ditch,South,13,2.246666667,22.05,26.83333333,0.5
Creek chub,sf c. franke source,17,sf c. franke source,South,9,1.693333333,17.95454545,21.65909091,0.166666667
Creek chub,sf c. franke,168,sf c. franke,South,10,2.68,23.2962963,12.16666667,0.45
Creek chub,sf b. franke,79,sf b. franke,South,11,3.46,34.26666667,27.5,0.25
Creek chub,sf keefe,91,sf keefe,South,13,4.94,33.16666667,22.1,0.216666667
Creek chub,sf millard,31,sf millard,South,10,4.533333333,61.15,55.18333333,0.2
Creek chub,sf irhke source,12,sf irhke source,South,8,6.206666667,44.25,24.76666667,0.083333333
Creek chub,sf millard d/s,13,sf millard d/s,South,11,8.806666667,45.06666667,56.7,0.4
Creek chub,sf zitzow,57,sf zitzow,South,10,6.76,29.38333333,35.93333333,0.583333333
Creek chub,sf andring,47,sf andring,South,8,5.22,45.11666667,33.5,0.383333333
Creek chub,sf park west,33,sf park west,South,12,5.746666667,41.66666667,43.16666667,0.316666667
Creek chub,sf brookwood,115,sf brookwood,South,10,6.513333333,53.33333333,44.13333333,0.183333333
Creek chub,sf scpu,26,sf scpu,South,12,9.533333333,53.45,33.88333333,0.283333333
Creek chub,sf richland crossing,23,sf richland crossing,South,13,9.48,60.38333333,34.85,0.133333333
Creek chub,sf person,2,sf person,South,12,9.546666667,44.93333333,55.45,0.416666667
Creek chub,sf heins 37,8,sf heins 37,South,8,10.08666667,50.45,35.05,0.183333333
Creek chub,sf high bridge,1,sf high bridge,South,10,8.533333333,41.05,48.43333333,0.033333333
Creek chub,sf u/s crystal springs,17,sf u/s crystal springs,South,,14.28,,,
Creek chub,sf hwy 26,11,sf hwy 26,South,9,11.96666667,55.355,47.98333333,0.316666667
White sucker,nf pries source 1,,nf pries source 1,North,10,1.68,8.066666667,6.033333333,0.133333333
White sucker,nf pries source 2,,nf pries source 2,North,13,1.666666667,7.416666667,7.6,0.066666667
White sucker,nf pries 1,,nf pries 1,North,9,1.841333333,17.71666667,22.33333333,0.116666667
White sucker,nf pries 2,,nf pries 2,North,10,3.386666667,33.76666667,27.43333333,0.316666667
White sucker,nf walsch,13,nf walsch,North,9,2.853333333,51.06666667,27.18333333,0.283333333
White sucker,nf shea,47,nf shea,North,9,4.133333333,33.18333333,30.65,0.133333333
White sucker,nf jech,21,nf jech,North,11,4.653333333,54.06666667,30.4,0.15
White sucker,nf tradup,17,nf tradup,North,10,6.013333333,59.5,23.83333333,0.066666667
White sucker,nf elgin,11,nf elgin,North,11,7.926666667,43.23333333,23.9,0.033333333
White sucker,nf jech pond,37,nf jech pond,North,12,8.273333333,45.46666667,19.78333333,0
White sucker,nf sjech,11,nf sjech,North,13,8.193333333,46.75,28.53333333,0.033333333
White sucker,nf reiter,18,nf reiter,North,13,5.353333333,55.38333333,27.1,0.2
White sucker,nf borgen,54,nf borgen,North,15,7.386666667,63.58333333,20.76666667,0.05
White sucker,nf crary,7,nf crary,North,13,9.673333333,45.56666667,21.85,0
White sucker,nf kcrary,9,nf kcrary,North,12,12.26,34.61666667,27.36666667,0.2
White sucker,nf carley,21,nf carley,North,13,11.28125,40.953125,17.484375,0
White sucker,nf breiter,6,nf breiter,North,8,11.85333333,34.66666667,57.38333333,0
White sucker,nf logan,5,nf logan,North,11,6.426666667,21.46666667,37.86666667,0.083333333
White sucker,nf upper wwma,27,nf upper wwma,North,12,15.21333333,41.45,40.3,0.05
White sucker,nf fairwater,2,nf fairwater,North,,12.48,,,
White sucker,nf elba,6,nf elba,North,14,11.26666667,36.93333333,56.55,0
White sucker,mf crow springs source,,mf crow springs source,Middle,13,6.246666667,14.36666667,35.66666667,0.85
White sucker,mf crow springs hwy 9,,mf crow springs hwy 9,Middle,8,4.393333333,53.26666667,23.35,0.183333333
White sucker,mf crow springs biers,,mf crow springs biers,Middle,12,4.193333333,43.38333333,39.93333333,0.1
White sucker,mf hines 107,,mf hines 107,Middle,7,2.426666667,21.74074074,13.05555556,0.233333333
White sucker,mf russel,40,mf russel,Middle,11,3.1,29.95,31.88333333,0.316666667
White sucker,mf kriedermacher,4,mf kriedermacher,Middle,11,4.04,19.3,25.11666667,0.3
White sucker,mf bedtke,15,mf bedtke,Middle,12,3.713333333,38.95,38.41666667,0.3
White sucker,mf palmby,2,mf palmby,Middle,14,4.313333333,29.03333333,30.8,0.35
White sucker,mf bedtka,19,mf bedtka,Middle,13,3.806666667,58.93333333,28.4,0.25
White sucker,mf duellman,25,mf duellman,Middle,16,6.086666667,34.28333333,25.06666667,0.166666667
White sucker,mf halbakken,17,mf halbakken,Middle,10,6.613333333,34.88333333,18.25,0.25
White sucker,mf hentges,26,mf hentges,Middle,14,6.4,34.65,35.73333333,0.333333333
White sucker,mf quincy,23,mf quincy,Middle,13,7.53,,,
White sucker,mf cwwma,3,mf cwwma,Middle,12,11.77333333,49.31666667,54.28333333,0.45
White sucker,mf group camp,3,mf group camp,Middle,14,9.493333333,44.28333333,24.48333333,0
White sucker,mf south picnic,14,mf south picnic,Middle,10,11.43333333,35.55,53.71666667,0.15
White sucker,mf park campground,7,mf park campground,Middle,8,9.653333333,36.56666667,55.5,0.016666667
White sucker,mf lazy d,5,mf lazy d,Middle,12,9.34,46.21666667,59.68333333,0.116666667
White sucker,mf swwma,13,mf swwma,Middle,12,10.62,30.33333333,39.56666667,0
White sucker,sf eyota,,sf eyota,South,,6.51,,,
White sucker,sf grahams arena,14,sf grahams arena,South,14,2.893333333,16.4,13.5,0.55
White sucker,sf eyota ditch,27,sf eyota ditch,South,13,2.246666667,22.05,26.83333333,0.5
White sucker,sf c. franke source,2,sf c. franke source,South,9,1.693333333,17.95454545,21.65909091,0.166666667
White sucker,sf c. franke,145,sf c. franke,South,10,2.68,23.2962963,12.16666667,0.45
White sucker,sf b. franke,92,sf b. franke,South,11,3.46,34.26666667,27.5,0.25
White sucker,sf keefe,101,sf keefe,South,13,4.94,33.16666667,22.1,0.216666667
White sucker,sf millard,15,sf millard,South,10,4.533333333,61.15,55.18333333,0.2
White sucker,sf irhke source,23,sf irhke source,South,8,6.206666667,44.25,24.76666667,0.083333333
White sucker,sf millard d/s,16,sf millard d/s,South,11,8.806666667,45.06666667,56.7,0.4
White sucker,sf zitzow,22,sf zitzow,South,10,6.76,29.38333333,35.93333333,0.583333333
White sucker,sf andring,67,sf andring,South,8,5.22,45.11666667,33.5,0.383333333
White sucker,sf park west,45,sf park west,South,12,5.746666667,41.66666667,43.16666667,0.316666667
White sucker,sf brookwood,57,sf brookwood,South,10,6.513333333,53.33333333,44.13333333,0.183333333
White sucker,sf scpu,30,sf scpu,South,12,9.533333333,53.45,33.88333333,0.283333333
White sucker,sf richland crossing,20,sf richland crossing,South,13,9.48,60.38333333,34.85,0.133333333
White sucker,sf person,10,sf person,South,12,9.546666667,44.93333333,55.45,0.416666667
White sucker,sf heins 37,4,sf heins 37,South,8,10.08666667,50.45,35.05,0.183333333
White sucker,sf high bridge,14,sf high bridge,South,10,8.533333333,41.05,48.43333333,0.033333333
White sucker,sf u/s crystal springs,81,sf u/s crystal springs,South,,14.28,,,
White sucker,sf hwy 26,20,sf hwy 26,South,9,11.96666667,55.355,47.98333333,0.316666667
Brook stickleback,nf pries source 1,38,nf pries source 1,North,10,1.68,8.066666667,6.033333333,0.133333333
Brook stickleback,nf pries source 2,,nf pries source 2,North,13,1.666666667,7.416666667,7.6,0.066666667
Brook stickleback,nf pries 1,22,nf pries 1,North,9,1.841333333,17.71666667,22.33333333,0.116666667
Brook stickleback,nf pries 2,14,nf pries 2,North,10,3.386666667,33.76666667,27.43333333,0.316666667
Brook stickleback,nf walsch,17,nf walsch,North,9,2.853333333,51.06666667,27.18333333,0.283333333
Brook stickleback,nf shea,,nf shea,North,9,4.133333333,33.18333333,30.65,0.133333333
Brook stickleback,nf jech,2,nf jech,North,11,4.653333333,54.06666667,30.4,0.15
Brook stickleback,nf tradup,,nf tradup,North,10,6.013333333,59.5,23.83333333,0.066666667
Brook stickleback,nf elgin,1,nf elgin,North,11,7.926666667,43.23333333,23.9,0.033333333
Brook stickleback,nf jech pond,,nf jech pond,North,12,8.273333333,45.46666667,19.78333333,0
Brook stickleback,nf sjech,,nf sjech,North,13,8.193333333,46.75,28.53333333,0.033333333
Brook stickleback,nf reiter,1,nf reiter,North,13,5.353333333,55.38333333,27.1,0.2
Brook stickleback,nf borgen,,nf borgen,North,15,7.386666667,63.58333333,20.76666667,0.05
Brook stickleback,nf crary,2,nf crary,North,13,9.673333333,45.56666667,21.85,0
Brook stickleback,nf kcrary,,nf kcrary,North,12,12.26,34.61666667,27.36666667,0.2
Brook stickleback,nf carley,4,nf carley,North,13,11.28125,40.953125,17.484375,0
Brook stickleback,nf breiter,,nf breiter,North,8,11.85333333,34.66666667,57.38333333,0
Brook stickleback,nf logan,,nf logan,North,11,6.426666667,21.46666667,37.86666667,0.083333333
Brook stickleback,nf upper wwma,,nf upper wwma,North,12,15.21333333,41.45,40.3,0.05
Brook stickleback,nf fairwater,,nf fairwater,North,,12.48,,,
Brook stickleback,nf elba,,nf elba,North,14,11.26666667,36.93333333,56.55,0
Brook stickleback,mf crow springs source,,mf crow springs source,Middle,13,6.246666667,14.36666667,35.66666667,0.85
Brook stickleback,mf crow springs hwy 9,,mf crow springs hwy 9,Middle,8,4.393333333,53.26666667,23.35,0.183333333
Brook stickleback,mf crow springs biers,,mf crow springs biers,Middle,12,4.193333333,43.38333333,39.93333333,0.1
Brook stickleback,mf hines 107,120,mf hines 107,Middle,7,2.426666667,21.74074074,13.05555556,0.233333333
Brook stickleback,mf russel,3,mf russel,Middle,11,3.1,29.95,31.88333333,0.316666667
Brook stickleback,mf kriedermacher,4,mf kriedermacher,Middle,11,4.04,19.3,25.11666667,0.3
Brook stickleback,mf bedtke,1,mf bedtke,Middle,12,3.713333333,38.95,38.41666667,0.3
Brook stickleback,mf palmby,3,mf palmby,Middle,14,4.313333333,29.03333333,30.8,0.35
Brook stickleback,mf bedtka,1,mf bedtka,Middle,13,3.806666667,58.93333333,28.4,0.25
Brook stickleback,mf duellman,1,mf duellman,Middle,16,6.086666667,34.28333333,25.06666667,0.166666667
Brook stickleback,mf halbakken,,mf halbakken,Middle,10,6.613333333,34.88333333,18.25,0.25
Brook stickleback,mf hentges,,mf hentges,Middle,14,6.4,34.65,35.73333333,0.333333333
Brook stickleback,mf quincy,,mf quincy,Middle,13,7.53,,,
Brook stickleback,mf cwwma,,mf cwwma,Middle,12,11.77333333,49.31666667,54.28333333,0.45
Brook stickleback,mf group camp,,mf group camp,Middle,14,9.493333333,44.28333333,24.48333333,0
Brook stickleback,mf south picnic,,mf south picnic,Middle,10,11.43333333,35.55,53.71666667,0.15
Brook stickleback,mf park campground,,mf park campground,Middle,8,9.653333333,36.56666667,55.5,0.016666667
Brook stickleback,mf lazy d,,mf lazy d,Middle,12,9.34,46.21666667,59.68333333,0.116666667
Brook stickleback,mf swwma,,mf swwma,Middle,12,10.62,30.33333333,39.56666667,0
Brook stickleback,sf eyota,158,sf eyota,South,,6.51,,,
Brook stickleback,sf grahams arena,227,sf grahams arena,South,14,2.893333333,16.4,13.5,0.55
Brook stickleback,sf eyota ditch,38,sf eyota ditch,South,13,2.246666667,22.05,26.83333333,0.5
Brook stickleback,sf c. franke source,17,sf c. franke source,South,9,1.693333333,17.95454545,21.65909091,0.166666667
Brook stickleback,sf c. franke,11,sf c. franke,South,10,2.68,23.2962963,12.16666667,0.45
Brook stickleback,sf b. franke,1,sf b. franke,South,11,3.46,34.26666667,27.5,0.25
Brook stickleback,sf keefe,,sf keefe,South,13,4.94,33.16666667,22.1,0.216666667
Brook stickleback,sf millard,,sf millard,South,10,4.533333333,61.15,55.18333333,0.2
Brook stickleback,sf irhke source,,sf irhke source,South,8,6.206666667,44.25,24.76666667,0.083333333
Brook stickleback,sf millard d/s,1,sf millard d/s,South,11,8.806666667,45.06666667,56.7,0.4
Brook stickleback,sf zitzow,,sf zitzow,South,10,6.76,29.38333333,35.93333333,0.583333333
Brook stickleback,sf andring,,sf andring,South,8,5.22,45.11666667,33.5,0.383333333
Brook stickleback,sf park west,,sf park west,South,12,5.746666667,41.66666667,43.16666667,0.316666667
Brook stickleback,sf brookwood,,sf brookwood,South,10,6.513333333,53.33333333,44.13333333,0.183333333
Brook stickleback,sf scpu,,sf scpu,South,12,9.533333333,53.45,33.88333333,0.283333333
Brook stickleback,sf richland crossing,,sf richland crossing,South,13,9.48,60.38333333,34.85,0.133333333
Brook stickleback,sf person,,sf person,South,12,9.546666667,44.93333333,55.45,0.416666667
Brook stickleback,sf heins 37,10,sf heins 37,South,8,10.08666667,50.45,35.05,0.183333333
Brook stickleback,sf high bridge,,sf high bridge,South,10,8.533333333,41.05,48.43333333,0.033333333
Brook stickleback,sf u/s crystal springs,,sf u/s crystal springs,South,,14.28,,,
Brook stickleback,sf hwy 26,,sf hwy 26,South,9,11.96666667,55.355,47.98333333,0.316666667
Green sunfish,nf pries source 1,,nf pries source 1,North,10,1.68,8.066666667,6.033333333,0.133333333
Green sunfish,nf pries source 2,,nf pries source 2,North,13,1.666666667,7.416666667,7.6,0.066666667
Green sunfish,nf pries 1,,nf pries 1,North,9,1.841333333,17.71666667,22.33333333,0.116666667
Green sunfish,nf pries 2,,nf pries 2,North,10,3.386666667,33.76666667,27.43333333,0.316666667
Green sunfish,nf walsch,,nf walsch,North,9,2.853333333,51.06666667,27.18333333,0.283333333
Green sunfish,nf shea,,nf shea,North,9,4.133333333,33.18333333,30.65,0.133333333
Green sunfish,nf jech,3,nf jech,North,11,4.653333333,54.06666667,30.4,0.15
Green sunfish,nf tradup,,nf tradup,North,10,6.013333333,59.5,23.83333333,0.066666667
Green sunfish,nf elgin,1,nf elgin,North,11,7.926666667,43.23333333,23.9,0.033333333
Green sunfish,nf jech pond,4,nf jech pond,North,12,8.273333333,45.46666667,19.78333333,0
Green sunfish,nf sjech,,nf sjech,North,13,8.193333333,46.75,28.53333333,0.033333333
Green sunfish,nf reiter,,nf reiter,North,13,5.353333333,55.38333333,27.1,0.2
Green sunfish,nf borgen,,nf borgen,North,15,7.386666667,63.58333333,20.76666667,0.05
Green sunfish,nf crary,,nf crary,North,13,9.673333333,45.56666667,21.85,0
Green sunfish,nf kcrary,,nf kcrary,North,12,12.26,34.61666667,27.36666667,0.2
Green sunfish,nf carley,,nf carley,North,13,11.28125,40.953125,17.484375,0
Green sunfish,nf breiter,,nf breiter,North,8,11.85333333,34.66666667,57.38333333,0
Green sunfish,nf logan,,nf logan,North,11,6.426666667,21.46666667,37.86666667,0.083333333
Green sunfish,nf upper wwma,,nf upper wwma,North,12,15.21333333,41.45,40.3,0.05
Green sunfish,nf fairwater,,nf fairwater,North,,12.48,,,
Green sunfish,nf elba,,nf elba,North,14,11.26666667,36.93333333,56.55,0
Green sunfish,mf crow springs source,,mf crow springs source,Middle,13,6.246666667,14.36666667,35.66666667,0.85
Green sunfish,mf crow springs hwy 9,,mf crow springs hwy 9,Middle,8,4.393333333,53.26666667,23.35,0.183333333
Green sunfish,mf crow springs biers,,mf crow springs biers,Middle,12,4.193333333,43.38333333,39.93333333,0.1
Green sunfish,mf hines 107,,mf hines 107,Middle,7,2.426666667,21.74074074,13.05555556,0.233333333
Green sunfish,mf russel,,mf russel,Middle,11,3.1,29.95,31.88333333,0.316666667
Green sunfish,mf kriedermacher,,mf kriedermacher,Middle,11,4.04,19.3,25.11666667,0.3
Green sunfish,mf bedtke,,mf bedtke,Middle,12,3.713333333,38.95,38.41666667,0.3
Green sunfish,mf palmby,,mf palmby,Middle,14,4.313333333,29.03333333,30.8,0.35
Green sunfish,mf bedtka,,mf bedtka,Middle,13,3.806666667,58.93333333,28.4,0.25
Green sunfish,mf duellman,,mf duellman,Middle,16,6.086666667,34.28333333,25.06666667,0.166666667
Green sunfish,mf halbakken,,mf halbakken,Middle,10,6.613333333,34.88333333,18.25,0.25
Green sunfish,mf hentges,,mf hentges,Middle,14,6.4,34.65,35.73333333,0.333333333
Green sunfish,mf quincy,,mf quincy,Middle,13,7.53,,,
Green sunfish,mf cwwma,,mf cwwma,Middle,12,11.77333333,49.31666667,54.28333333,0.45
Green sunfish,mf group camp,,mf group camp,Middle,14,9.493333333,44.28333333,24.48333333,0
Green sunfish,mf south picnic,,mf south picnic,Middle,10,11.43333333,35.55,53.71666667,0.15
Green sunfish,mf park campground,,mf park campground,Middle,8,9.653333333,36.56666667,55.5,0.016666667
Green sunfish,mf lazy d,,mf lazy d,Middle,12,9.34,46.21666667,59.68333333,0.116666667
Green sunfish,mf swwma,,mf swwma,Middle,12,10.62,30.33333333,39.56666667,0
Green sunfish,sf eyota,,sf eyota,South,,6.51,,,
Green sunfish,sf grahams arena,6,sf grahams arena,South,14,2.893333333,16.4,13.5,0.55
Green sunfish,sf eyota ditch,2,sf eyota ditch,South,13,2.246666667,22.05,26.83333333,0.5
Green sunfish,sf c. franke source,1,sf c. franke source,South,9,1.693333333,17.95454545,21.65909091,0.166666667
Green sunfish,sf c. franke,8,sf c. franke,South,10,2.68,23.2962963,12.16666667,0.45
Green sunfish,sf b. franke,2,sf b. franke,South,11,3.46,34.26666667,27.5,0.25
Green sunfish,sf keefe,,sf keefe,South,13,4.94,33.16666667,22.1,0.216666667
Green sunfish,sf millard,,sf millard,South,10,4.533333333,61.15,55.18333333,0.2
Green sunfish,sf irhke source,,sf irhke source,South,8,6.206666667,44.25,24.76666667,0.083333333
Green sunfish,sf millard d/s,,sf millard d/s,South,11,8.806666667,45.06666667,56.7,0.4
Green sunfish,sf zitzow,4,sf zitzow,South,10,6.76,29.38333333,35.93333333,0.583333333
Green sunfish,sf andring,,sf andring,South,8,5.22,45.11666667,33.5,0.383333333
Green sunfish,sf park west,2,sf park west,South,12,5.746666667,41.66666667,43.16666667,0.316666667
